ZipCode,City,StateCode,Zone,DeliveryDays
Postal Code,Place Name,State Abbreviation,,
00210,Portsmouth,NH,Eastern,2
00211,Portsmouth,NH,Eastern,2
00212,Portsmouth,NH,Eastern,2
00213,Portsmouth,NH,Eastern,2
00214,Portsmouth,NH,Eastern,2
00215,Portsmouth,NH,Eastern,2
00401,Pleasantville,NY,Metro New York,1
00501,Holtsville,NY,Metro New York,1
00544,Holtsville,NY,Metro New York,1
01001,Agawam,MA,Eastern,2
01002,Amherst,MA,Eastern,2
01003,Amherst,MA,Eastern,2
01004,Amherst,MA,Eastern,2
01005,Barre,MA,Eastern,2
01007,Belchertown,MA,Eastern,2
01008,Blandford,MA,Eastern,2
01009,Bondsville,MA,Eastern,2
01010,Brimfield,MA,Eastern,2
01011,Chester,MA,Eastern,2
01012,Chesterfield,MA,Eastern,2
01013,Chicopee,MA,Eastern,2
01014,Chicopee,MA,Eastern,2
01020,Chicopee,MA,Eastern,2
01021,Chicopee,MA,Eastern,2
01022,Chicopee,MA,Eastern,2
01026,Cummington,MA,Eastern,2
01027,Easthampton,MA,Eastern,2
01028,East Longmeadow,MA,Eastern,2
01029,East Otis,MA,Eastern,2
01030,Feeding Hills,MA,Eastern,2
01031,Gilbertville,MA,Eastern,2
01032,Goshen,MA,Eastern,2
01033,Granby,MA,Eastern,2
01034,Granville,MA,Eastern,2
01035,Hadley,MA,Eastern,2
01036,Hampden,MA,Eastern,2
01037,Hardwick,MA,Eastern,2
01038,Hatfield,MA,Eastern,2
01039,Haydenville,MA,Eastern,2
01040,Holyoke,MA,Eastern,2
01041,Holyoke,MA,Eastern,2
01050,Huntington,MA,Eastern,2
01053,Leeds,MA,Eastern,2
01054,Leverett,MA,Eastern,2
01056,Ludlow,MA,Eastern,2
01057,Monson,MA,Eastern,2
01059,North Amherst,MA,Eastern,2
01060,Northampton,MA,Eastern,2
01061,Northampton,MA,Eastern,2
01062,Florence,MA,Eastern,2
01063,Northampton,MA,Eastern,2
01066,North Hatfield,MA,Eastern,2
01068,Oakham,MA,Eastern,2
01069,Palmer,MA,Eastern,2
01070,Plainfield,MA,Eastern,2
01071,Russell,MA,Eastern,2
01072,Shutesbury,MA,Eastern,2
01073,Southampton,MA,Eastern,2
01074,South Barre,MA,Eastern,2
01075,South Hadley,MA,Eastern,2
01077,Southwick,MA,Eastern,2
01079,Thorndike,MA,Eastern,2
01080,Three Rivers,MA,Eastern,2
01081,Wales,MA,Eastern,2
01082,Ware,MA,Eastern,2
01083,Warren,MA,Eastern,2
01084,West Chesterfield,MA,Eastern,2
01085,Westfield,MA,Eastern,2
01086,Westfield,MA,Eastern,2
01088,West Hatfield,MA,Eastern,2
01089,West Springfield,MA,Eastern,2
01090,West Springfield,MA,Eastern,2
01092,West Warren,MA,Eastern,2
01093,Whately,MA,Eastern,2
01094,Wheelwright,MA,Eastern,2
