7,Pleasantville,S,NY,00401,Westchester,0.07
8,Holtsville,13.95,NY,00501,Suffolk,0.0875
9,Holtsville,13.95,NY,00544,Suffolk,0.0875
2916,Fishers Island,S,NY,06390,Suffolk,0.0875
4540,New York,12,NY,10001,New York,0.08375
4541,New York,12,NY,10002,New York,0.08375
4542,New York,12,NY,10003,New York,0.08375
4543,Cooper,12,NY,10003,New York,0.08375
4544,New York,12,NY,10004,New York,0.08375
4545,New York,12,NY,10005,New York,0.08375
4546,New York,12,NY,10006,New York,0.08375
4547,New York,12,NY,10007,New York,0.08375
4548,New York,12,NY,10008,New York,0.08375
4549,New York,12,NY,10009,New York,0.08375
4550,New York,12,NY,10010,New York,0.08375
4551,New York,12,NY,10011,New York,0.08375
4552,New York,12,NY,10012,New York,0.08375
4553,New York,12,NY,10013,New York,0.08375
4554,New York,12,NY,10014,New York,0.08375
4555,New York,12,NY,10015,New York,0.08375
4556,New York,12,NY,10016,New York,0.08375
4557,New York,12,NY,10017,New York,0.08375
4558,New York,12,NY,10018,New York,0.08375
4559,New York,12,NY,10019,New York,0.08375
4560,New York,12,NY,10020,New York,0.08375
4561,New York,12,NY,10021,New York,0.08375
4562,New York,12,NY,10022,New York,0.08375
4563,New York,12,NY,10023,New York,0.08375
4564,New York,12,NY,10024,New York,0.08375
4565,New York,12,NY,10025,New York,0.08375
4566,New York,12,NY,10026,New York,0.08375
4567,New York,12,NY,10027,New York,0.08375
4568,New York,12,NY,10028,New York,0.08375
4569,New York,12,NY,10029,New York,0.08375
4570,New York,12,NY,10030,New York,0.08375
4571,College,12,NY,10030,New York,0.08375
4572,New York,12,NY,10031,New York,0.08375
4573,New York,12,NY,10032,New York,0.08375
4574,New York,12,NY,10033,New York,0.08375
4575,New York,12,NY,10034,New York,0.08375
4576,New York,12,NY,10035,New York,0.08375
4577,New York,12,NY,10036,New York,0.08375
4578,New York,12,NY,10037,New York,0.08375
4579,New York,12,NY,10038,New York,0.08375
4580,New York,12,NY,10039,New York,0.08375
4581,New York,12,NY,10040,New York,0.08375
4582,New York,12,NY,10041,New York,0.08375
4583,New York,12,NY,10043,New York,0.08375
4584,New York,12,NY,10044,New York,0.08375
4585,New York,12,NY,10045,New York,0.08375
4586,New York,12,NY,10046,New York,0.08375
4587,New York,12,NY,10047,New York,0.08375
4588,New York,12,NY,10048,New York,0.08375
4589,New York,12,NY,10055,New York,0.08375
4590,New York,12,NY,10060,New York,0.08375
52220,new york,S,ny,10065,New York,0.08375
52221,New York,S,ny,10065,New York,0.08375
51656,New York,14.95,ny,10069,New York,0.08375
4591,New York,12,NY,10072,New York,0.08375
52228,New York,S,NY,10075,,0.08375
4592,New York,12,NY,10079,New York,0.08375
4593,New York,12,NY,10080,New York,0.08375
4594,New York,12,NY,10081,New York,0.08375
4595,New York,12,NY,10082,New York,0.08375
4596,New York,12,NY,10087,New York,0.08375
4597,New York,12,NY,10090,New York,0.08375
4598,New York,12,NY,10094,New York,0.08375
4599,New York,12,NY,10095,New York,0.08375
